The objective of this study was to evaluate the effect of dexamethasone  on the severity of seizures and levels of pro-inflammatory interleukins in animals with kindling model induced by pentylenetetrazole (20   mg/kg) in alternated days for 15   days of treatment.,objective;evaluate;effect on severity|objective;evaluate;effect of dexamethasone on severity of seizures|pro-inflammatory interleukins;is in;animals|objective;evaluate;effect on severity of seizures|objective;evaluate;effect|levels;is with;kindling model induced by pentylenetetrazole in alternated days for 15 days of treatment|objective;evaluate;effect of dexamethasone|objective;evaluate;effect of dexamethasone on severity|,8
The animals were divided into five groups: control group given saline  a group treated with diazepam (2   mg/kg) and groups treated with dexamethasone (1  2 and 4   mg/kg).,animals;were divided into;five groups|animals;were;divided|groups;treated with;dexamethasone|,3
Open field test was conducted.,,0
The treatment with dexamethasone decreased the severity of seizures  also decreased TNF-alpha and Interleukin 1 beta levels in the hippocampus and TNF-alpha level in the serum.,treatment;is with;dexamethasone|treatment;decreased;severity of seizures|Interleukin 1 beta levels;TNF-alpha in;hippocampus level|treatment;decreased;severity|TNF-alpha;is in;hippocampus level|,5


Brain stimulation has emerged as an effective treatment for a wide range of neurological and psychiatric diseases.,Brain stimulation;has emerged as;treatment for range|Brain stimulation;has emerged as;effective treatment for range|Brain stimulation;has emerged as;effective treatment for wide range of neurological diseases|Brain stimulation;has emerged as;treatment for wide range|Brain stimulation;has emerged as;effective treatment for wide range|Brain stimulation;has emerged as;treatment for range of neurological diseases|Brain stimulation;has emerged as;treatment|Brain stimulation;has emerged as;effective treatment for wide range of diseases|Brain stimulation;has emerged as;treatment for wide range of neurological diseases|Brain stimulation;has emerged as;treatment for range of diseases|Brain stimulation;has emerged as;effective treatment for range of neurological diseases|Brain stimulation;has emerged as;effective treatment|Brain stimulation;has emerged as;treatment for wide range of diseases|Brain stimulation;has emerged as;effective treatment for range of diseases|,14
Parkinson's disease  epilepsy  and essential tremor have FDA indications for electrical brain stimulation using intracranially implanted electrodes.,Parkinson 's disease epilepsy;have;FDA indications for electrical brain stimulation|tremor;have;FDA indications for electrical brain stimulation|essential tremor;have;FDA indications|Parkinson 's disease epilepsy;have;FDA indications|tremor;have;FDA indications for brain stimulation|Parkinson;has;epilepsy|Parkinson 's disease epilepsy;have;FDA indications for brain stimulation|essential tremor;have;FDA indications for electrical brain stimulation|tremor;have;FDA indications|essential tremor;have;FDA indications for brain stimulation|,10
Interfacing implantable brain devices with local and cloud computing resources have the potential to improve electrical stimulation efficacy  disease tracking  and management.,implantable brain devices;is with;local computing resources|,1
Epilepsy  in particular  is a neurological disease that might benefit from the integration of brain implants with off-the-body computing for tracking disease and therapy.,Epilepsy;is disease;might benefit|integration;is with;off-the-body computing|Epilepsy;is neurological disease;might benefit|Epilepsy;is;neurological|Epilepsy;is in;particular|,5
Recent clinical trials have demonstrated seizure forecasting  seizure detection  and therapeutic electrical stimulation in patients with drug-resistant focal epilepsy.,clinical trials;have demonstrated;seizure forecasting seizure detection in patients with drug-resistant focal epilepsy|Recent clinical trials;have demonstrated;seizure forecasting seizure detection in patients with drug-resistant focal epilepsy|Recent clinical trials;have demonstrated;seizure forecasting seizure detection in patients with focal epilepsy|trials;have demonstrated;therapeutic electrical stimulation|trials;have demonstrated;seizure forecasting seizure detection in patients with drug-resistant epilepsy|Recent clinical trials;have demonstrated;seizure forecasting seizure detection|trials;have demonstrated;therapeutic stimulation|Recent clinical trials;have demonstrated;electrical stimulation|Recent trials;have demonstrated;stimulation|trials;have demonstrated;seizure forecasting seizure detection in patients with focal epilepsy|trials;have demonstrated;seizure forecasting seizure detection in patients|Recent trials;have demonstrated;seizure forecasting seizure detection in patients with drug-resistant epilepsy|Recent trials;have demonstrated;therapeutic stimulation|Recent trials;have demonstrated;seizure forecasting seizure detection|clinical trials;have demonstrated;therapeutic electrical stimulation|Recent clinical trials;have demonstrated;therapeutic stimulation|patients;is with;drug-resistant focal epilepsy|Recent trials;have demonstrated;seizure forecasting seizure detection in patients with focal epilepsy|Recent clinical trials;have demonstrated;seizure forecasting seizure detection in patients with epilepsy|Recent clinical trials;have demonstrated;seizure forecasting seizure detection in patients with drug-resistant epilepsy|clinical trials;have demonstrated;seizure forecasting seizure detection|trials;have demonstrated;seizure forecasting seizure detection|clinical trials;have demonstrated;therapeutic stimulation|Recent clinical trials;have demonstrated;seizure forecasting seizure detection in patients|clinical trials;have demonstrated;electrical stimulation|Recent trials;have demonstrated;therapeutic electrical stimulation|Recent trials;have demonstrated;seizure forecasting seizure detection in patients with epilepsy|clinical trials;have demonstrated;seizure forecasting seizure detection in patients with focal epilepsy|Recent trials;have demonstrated;seizure forecasting seizure detection in patients|Recent trials;have demonstrated;seizure forecasting seizure detection in patients with drug-resistant focal epilepsy|clinical trials;have demonstrated;seizure forecasting seizure detection in patients|trials;have demonstrated;seizure forecasting seizure detection in patients with drug-resistant focal epilepsy|Recent clinical trials;have demonstrated;therapeutic electrical stimulation|trials;have demonstrated;electrical stimulation|Recent clinical trials;have demonstrated;stimulation|trials;have demonstrated;seizure forecasting seizure detection in patients with epilepsy|trials;have demonstrated;stimulation|clinical trials;have demonstrated;seizure forecasting seizure detection in patients with drug-resistant epilepsy|Recent trials;have demonstrated;electrical stimulation|clinical trials;have demonstrated;seizure forecasting seizure detection in patients with epilepsy|detection;is in;patients with drug-resistant focal epilepsy|clinical trials;have demonstrated;stimulation|,42
In this paper  we describe a next-generation epilepsy management system that integrates local handheld and cloud-computing resources wirelessly coupled to an implanted device with embedded payloads (sensors  intracranial EEG telemetry  electrical stimulation  classifiers  and control policy implementation).,resources;wirelessly coupled to;device with payloads|local handheld resources;wirelessly coupled to;device with embedded payloads|local handheld resources;coupled to;device with payloads|resources;coupled to;implanted device with embedded payloads|handheld resources;coupled to;implanted device with payloads|local handheld resources;coupled to;device with embedded payloads|resources;wirelessly coupled to;implanted device with payloads|implanted device;is with;embedded payloads|resources;wirelessly coupled to;implanted device with embedded payloads|handheld resources;wirelessly coupled to;implanted device with payloads|local handheld resources;wirelessly coupled to;device|handheld resources;coupled to;device with embedded payloads|handheld resources;wirelessly coupled to;implanted device with embedded payloads|local handheld resources;coupled to;implanted device with embedded payloads|local handheld resources;wirelessly coupled to;implanted device with embedded payloads|resources;wirelessly coupled to;device with embedded payloads|resources;coupled to;device with embedded payloads|handheld resources;wirelessly coupled to;device|resources;coupled to;device with payloads|local handheld resources;wirelessly coupled to;device with payloads|resources;wirelessly coupled to;device|resources;coupled to;implanted device|resources;wirelessly coupled to;implanted device|handheld resources;wirelessly coupled to;implanted device|handheld resources;coupled to;implanted device with embedded payloads|handheld resources;coupled to;device|local handheld resources;wirelessly coupled to;implanted device with payloads|resources;coupled to;device|handheld resources;coupled to;device with payloads|local handheld resources;coupled to;device|local handheld resources;coupled to;implanted device with payloads|handheld resources;wirelessly coupled to;device with embedded payloads|resources;coupled to;implanted device with payloads|handheld resources;wirelessly coupled to;device with payloads|handheld resources;coupled to;implanted device|local handheld resources;coupled to;implanted device|local handheld resources;wirelessly coupled to;implanted device|,37
The handheld device and cloud computing resources can provide a seamless interface between patients and physicians  and realtime intracranial EEG can be used to classify brain state (wake/sleep  preseizure  and seizure)  implement control policies for electrical stimulation  and track patient health.,,0
This system creates a flexible platform in which low demand analytics requiring fast response times are embedded in the implanted device and more complex algorithms are implemented in offthebody local and distributed cloud computing environments.,low demand analytics;are;embedded|demand analytics;are;embedded|,2
The system enables tracking and management of epileptic neural networks operating over time scales ranging from milliseconds to months.,system;enables;tracking of epileptic networks operating over time scales ranging from milliseconds|system;enables;tracking of neural networks|system;enables;tracking of epileptic neural networks operating over time scales ranging from milliseconds|system;enables;tracking of networks operating over time scales ranging from milliseconds to months|system;enables;tracking of epileptic networks operating over time scales|system;enables;tracking of networks operating over time scales ranging from milliseconds|system;enables;management|system;enables;tracking|system;enables;tracking of epileptic neural networks|system;enables;tracking of neural networks operating|system;enables;tracking of epileptic networks|system;enables;tracking of epileptic networks operating over time scales ranging|system;enables;tracking of neural networks operating over time scales ranging from milliseconds to months|system;enables;tracking of epileptic networks operating|system;enables;tracking of neural networks operating over time scales|system;enables;tracking of epileptic neural networks operating over time scales|system;enables;tracking of neural networks operating over time scales ranging from milliseconds|system;enables;tracking of networks operating|system;enables;tracking of neural networks operating over time scales ranging|system;enables;tracking of networks|system;enables;tracking of networks operating over time scales ranging|system;enables;tracking of networks operating over time scales|system;enables;tracking of epileptic neural networks operating|system;enables;tracking of epileptic neural networks operating over time scales ranging from milliseconds to months|system;enables;tracking of epileptic networks operating over time scales ranging from milliseconds to months|system;enables;tracking of epileptic neural networks operating over time scales ranging|,26


PURPOSE: The aim of this trial was to compare the efficacy and safety of two formulations of levetiracetam in people with partial epilepsy over a 12-week treatment period.,aim;compare;safety|safety;efficacy of;two formulations of levetiracetam|aim;compare;efficacy of two formulations of levetiracetam in people with partial epilepsy|aim;compare;efficacy of two formulations of levetiracetam|aim;compare;efficacy of two formulations of levetiracetam in people|safety;efficacy of;two formulations|aim;compare;efficacy in people with partial epilepsy|aim;compare safety over;12-week treatment period|people;is with;partial epilepsy|aim;compare;efficacy of two formulations|aim;compare efficacy over;treatment period|efficacy;is in;people with partial epilepsy|safety;efficacy in;people|aim;compare;efficacy in people with epilepsy|safety;efficacy in;people with epilepsy|aim;compare;efficacy of two formulations in people|aim;compare efficacy over;12-week treatment period|aim;compare safety over;treatment period|aim;compare;efficacy of two formulations in people with partial epilepsy|safety;efficacy in;people with partial epilepsy|aim;compare;efficacy in people|aim;compare;efficacy|aim;compare;efficacy of two formulations in people with epilepsy|aim;compare;efficacy of two formulations of levetiracetam in people with epilepsy|,24
METHODS: We performed a randomized  paralleled  and multicenter trial that consisted of a 4-week single-blind placebo run-in  followed by a 12-week double-blind  double-dummy treatment phase to compare the efficacy and safety of levetiracetam extended-release (LEV-ER) and immediate-release (LEV-IR) tablets as an adjunctive treatment in adult patients with uncontrolled epilepsy.,We;performed;paralleled|adult patients;is with;uncontrolled epilepsy|adjunctive treatment;is in;adult patients with uncontrolled epilepsy|We;performed;randomized paralleled|,4
RESULTS: The median partial-onset seizure (POS) frequency per week (min-max) was 0.3 (0.0  17.4; 95% confidence interval [95% CI] 1.3  4.8) in the LEV-ER group and 0.3 (0.0  31.4; 95% CI   -   0.1  4.3) in the LEV-IR group.,,0
No serious adverse events occurred during the trial period.,,0
Both groups had the same responder rate (58.6%)  while a higher rate of seizure freedom over the treatment period was noted in the LEV-ER group compared with the LEV-IR group (27.6% vs. 13.8%  respectively).,higher rate;was;noted|groups;had responder rate;noted|rate;was noted compared with;LEV-IR group|groups;had responder rate;noted in LEV-ER group|higher rate;was noted in;LEV-ER group|groups;had;same responder rate|groups;had;responder rate|higher rate;was noted compared with;LEV-IR group|rate;was noted in;LEV-ER group|rate;was;noted|,10
The European Quality of Life-5 Dimensions scores significantly increased in the LEV-ER-treated group  in contrast to the scores in the LEV-IR group  which decreased (7.2 vs.   -   1.5  p = 0.03).,European Quality;significantly increased in;LEV-ER-treated group|Quality;increased in;LEV-ER-treated group|Quality;significantly increased in;contrast|European Quality;increased in;LEV-ER-treated group|European Quality;increased in;contrast|European Quality;increased in;group|Quality;increased in;group|Quality;increased in;contrast|European Quality;significantly increased in;group|European Quality;significantly increased in;contrast|Quality;significantly increased in;LEV-ER-treated group|scores;is in;LEV-IR group|Quality;significantly increased in;group|,13
